Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,592.30","1.06%","1,580.00","66,02,230","21,54,775.62","21.88","12.93","1,592.50","1,114.85","1.67%","16.34%","30.38%","36.18%","76.49%","2.43","0.35%","8.54%","8.71%","101.61","1,530.25","1,424.03","66.15","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","1,001.60","1.05%","991.15","1,17,51,459","15,40,919.25","20.30","9.51","1,020.50","812.15","-0.05%","3.77%","12.37%","22.99%","40.57%","2.83","1.10%","13.93%","6.38%","89.49","995.10","973.20","56.65","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","2,106.30","-0.19%","2,108.00","29,27,138","12,01,034.44","26.93","53.01","2,174.50","1,559.50","0.79%","12.78%","32.00%","158.92%","316.54%","10.22","0.73%","8.11%","18.01%","21.42","2,095.70","1,932.29","51.81","78.00%","91.00%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","3,250.70","0.72%","3,234.00","11,84,324","11,76,131.71","23.50","32.92","4,322.95","2,866.60","3.74%","11.55%","-20.95%","-0.33%","11.01%","11.04","3.91%","50.48%","62.02%","131.54","3,155.61","3,245.51","55.25","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,355.40","1.30%","1,338.00","82,26,205","9,69,136.99","16.79","9.51","1,500.00","1,186.00","-2.50%","-1.21%","5.59%","50.19%","156.95%","2.90","0.82%","16.67%","6.13%","64.38","1,364.95","1,397.98","47.42","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","998.95","1.44%","984.50","73,57,435","9,22,092.54","10.84","10.15","999.00","680.00","2.66%","15.61%","25.94%","63.17%","257.53%","1.68","1.56%","15.83%","5.57%","81.94","962.42","847.90","68.38","78.00%","91.00%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,640.40","0.65%","1,635.90","25,24,526","6,65,120.59","23.46","32.92","1,982.80","1,307.00","4.88%","13.46%","-12.86%","7.64%","30.14%","6.96","2.70%","29.67%","35.85%","64.20","1,565.33","1,537.13","58.31","78.00%","90.72%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","990.45","1.78%","972.90","62,06,869","6,16,305.72","32.58","-5.03","1,102.50","680.60","-3.00%","0.28%","42.81%","51.13%","87.58%","5.86","0.57%","18.84%","10.98%","241.14","1,023.72","951.48","43.32","76.00%","89.79%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","4,163.40","0.56%","4,138.10","9,84,027","5,72,709.34","29.77","14.65","4,146.80","2,965.30","2.21%","13.43%","13.52%","99.26%","221.00%","5.62","0.82%","15.18%","18.71%","96.60","4,014.86","3,665.17","68.84","76.00%","91.00%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,348.00","1.08%","2,326.00","9,73,413","5,51,684.03","49.96","47.54","2,705.09","2,101.12","-3.15%","-5.88%","2.79%","-6.70%","-0.02%","11.20","2.28%","19.99%","23.38%","43.99","2,366.41","2,385.19","55.22","78.00%","91.00%"
