Stock Symbol,Company Name,Current Price,10 EMA,In Uptrend,Distance %,EMA Touched,Touch Date,Touch Distance %,Is Consolidating,Volatility Ratio,Avg Distance from EMA,EMA Rising,Final Result,Failure Reason
RELIANCE.NS,Reliance Industries,1269.2,1300.4,False,,False,,,False,,,False,FAIL,Not in uptrend
HDFCBANK.NS,HDFC Bank,738.35,749.22,False,,False,,,False,,,False,FAIL,Not in uptrend
BHARTIARTL.NS,Bharti Airtel,1799.0,1821.06,False,,False,,,False,,,False,FAIL,Not in uptrend
TCS.NS,Tata Consultancy Services,2151.0,2233.84,False,,False,,,False,,,False,FAIL,Not in uptrend
ICICIBANK.NS,ICICI Bank,1275.0,1256.98,True,1.43,True,2026-06-09,0.0,False,0.0181,0.87,False,FAIL,EMA not rising
SBIN.NS,State Bank of India,1002.7,976.97,True,2.63,True,2026-06-09,0.0,True,0.0203,0.87,True,PASS,
INFY.NS,Infosys,1180.3,1192.33,False,,False,,,False,,,False,FAIL,Not in uptrend
BAJFINANCE.NS,Bajaj Finance,886.9,891.62,False,,False,,,False,,,False,FAIL,Not in uptrend
LT.NS,Larsen & Toubro,3900.6,3948.16,False,,False,,,False,,,False,FAIL,Not in uptrend
HINDUNILVR.NS,Hindustan Unilever,2132.8,2131.6,True,0.06,True,2026-06-09,0.0,False,0.0194,1.93,False,FAIL,EMA not rising
LICI.NS,LIC of India,403.9,403.07,True,0.21,True,2026-06-09,0.0,False,0.0205,1.14,False,FAIL,EMA not rising
MARUTI.NS,Maruti Suzuki,13120.0,13071.4,True,0.37,True,2026-06-09,0.0,False,0.0217,0.81,False,FAIL,EMA not rising
M&M.NS,Mahindra & Mahindra,2990.1,3025.79,False,,False,,,False,,,False,FAIL,Not in uptrend
HCLTECH.NS,HCL Technologies,1146.3,1167.64,False,,False,,,False,,,False,FAIL,Not in uptrend
ITC.NS,ITC,280.0,283.43,False,,False,,,False,,,False,FAIL,Not in uptrend
KOTAKBANK.NS,Kotak Bank,381.7,381.06,True,0.17,True,2026-06-09,0.0,False,0.0185,0.79,False,FAIL,EMA not rising
SUNPHARMA.NS,Sun Pharmaceutical,1779.0,1798.88,False,,False,,,False,,,False,FAIL,Not in uptrend
AXISBANK.NS,Axis Bank,1292.4,1274.02,True,1.44,True,2026-06-09,0.0,False,0.0182,1.06,False,FAIL,EMA not rising
TITAN.NS,Titan,4104.9,4147.8,False,,False,,,False,,,False,FAIL,Not in uptrend
ULTRACEMCO.NS,UltraTech Cement,10911.0,11122.49,False,,False,,,False,,,False,FAIL,Not in uptrend
NTPC.NS,NTPC,355.65,370.4,False,,False,,,False,,,False,FAIL,Not in uptrend
BAJAJ.NS,Bajaj Finserv,,,False,,False,,,False,,,False,FAIL,Insufficient data
ADANIPORTS.NS,Adani Ports & SEZ,1826.4,1806.97,True,1.08,True,2026-06-09,0.0,True,0.022,0.88,True,PASS,
OIL.NS,Oil & Natural Gas Corporation,475.95,484.37,False,,False,,,False,,,False,FAIL,Not in uptrend
HINDUSTAN.NS,Hindustan Aeronautics,,,False,,False,,,False,,,False,FAIL,Insufficient data
BEL.NS,Bharat Electronics,412.05,412.32,False,,False,,,False,,,False,FAIL,Not in uptrend
JSWSTEEL.NS,JSW Steel,1261.7,1284.62,False,,False,,,False,,,False,FAIL,Not in uptrend
WIPRO.NS,Wipro,181.67,195.75,False,,False,,,False,,,False,FAIL,Not in uptrend
ETERNAL.NS,Eternal,245.65,249.77,False,,False,,,False,,,False,FAIL,Not in uptrend
ASIANPAINT.NS,Asian Paints,2708.1,2665.62,True,1.59,True,2026-06-09,0.0,True,0.0233,0.96,True,PASS,
HINDUSTAN.NS,Hindustan Zinc,,,False,,False,,,False,,,False,FAIL,Insufficient data
BAJAJ-AUTO.NS,Bajaj Auto,10184.0,10311.67,False,,False,,,False,,,False,FAIL,Not in uptrend
COALINDIA.NS,Coal India,466.9,468.17,False,,False,,,False,,,False,FAIL,Not in uptrend
ADANIENT.NS,Adani Enterprises,2979.9,2941.72,True,1.3,True,2026-06-09,0.11,True,0.0254,3.26,True,PASS,
POWERGRID.NS,Power Grid Corporation of India,285.7,288.99,False,,False,,,False,,,False,FAIL,Not in uptrend
NESTLEIND.NS,Nestle,1410.4,1403.91,True,0.46,True,2026-06-09,0.0,False,0.019,0.92,False,FAIL,EMA not rising
AVENUE.NS,Avenue Supermarts DMart,,,False,,False,,,False,,,False,FAIL,Insufficient data
VEDL.NS,Vedanta,306.25,324.29,False,,False,,,False,,,False,FAIL,Not in uptrend
IOC.NS,Indian Oil Corporation,138.13,138.64,False,,False,,,False,,,False,FAIL,Not in uptrend
TATASTEEL.NS,Tata Steel,203.18,207.92,False,,False,,,False,,,False,FAIL,Not in uptrend
